#MOTIVE
What describes wanting something that belongs to another?, wanting, Jealousy
What feeling comes from envy toward others?, envy, Jealousy
What grows from comparison and resentment?, comparison, Jealousy

What describes a desire to get back at someone?, desire, Revenge
What comes from anger and a need for payback?, anger, Revenge
What involves settling a past wrong?, settling, Revenge

What describes a desire for financial gain?, financial, Money
What involves seeking wealth or profit?, wealth, Money
What comes from wanting riches or reward?, riches, Money

What describes seeking excitement and danger?, excitement, Thrill
What involves chasing adrenaline and risk?, adrenaline, Thrill
What comes from wanting a rush of energy?, rush, Thrill

What describes wanting recognition and attention?, recognition, Fame
What involves becoming widely known?, widely, Fame
What comes from seeking popularity?, popularity, Fame
