#COMPONENT NAME
RIDDLE,  WORD(S) REMOVED, RIDDLE ANSWER
#LOCATION
Where do people gather around a table to share food?, gather, Dining Room
Where would you sit together during a large meal with others?, large, Dining Room
Where are plates and chairs arranged for shared eating?, plates, Dining Room

Where can people relax on a couch or watch shows together?, couch, Living Room
Where do visitors usually sit and talk comfortably?, visitors, Living Room
Where is a common space for everyday lounging?, lounging, Living Room

Where are meals prepared using appliances and ingredients?, appliances, Kitchen
Where would you go to cook food before eating?, cook, Kitchen
Where can you find counters used for preparing meals?, counters, Kitchen

Where are many books stored in organized shelves?, organized, Library
Where can someone quietly read for long periods of time?, quietly, Library
Where is written knowledge kept and explored?, knowledge, Library

Where can someone focus deeply on work or tasks?, deeply, Study
Where would you sit alone to complete important assignments?, alone, Study
Where is a quiet place meant for concentration?, quiet, Study

#CHARACTER (MURDERER)
This character is named after a bold red shade often linked to roses, roses, Mrs Scarlet
This character shares a name with a color seen in warning signs, warning, Mrs Scarlet
This character reflects the color of something bright and striking, striking, Mrs Scarlet

This character is named after a bird known for colorful feathers, bird, Mrs Peacock
This character reflects shimmering colors seen in nature’s display, shimmering, Mrs Peacock
This character shares a name with something known for vibrant patterns, patterns, Mrs Peacock

This character is named after a yellow condiment used on food, condiment, Mr Mustard
This character reflects a color often seen on caution signs, caution, Mr Mustard
This character shares a name with something bright and tangy, tangy, Mr Mustard

This character is named after a fruit with a deep purple color, fruit, Mrs Plum
This character reflects a shade often seen in ripe produce, ripe, Mrs Plum
This character shares a name with something small and richly colored, richly, Mrs Plum

This character is named after the color of fresh grass, grass, Mr Green
This character reflects a shade commonly found in nature, nature, Mr Green
This character shares a name with something symbolizing growth and life, growth, Mr Green

#MOTIVE
What describes wanting something that belongs to another?, wanting, Jealousy
What feeling comes from envy toward others?, envy, Jealousy
What grows from comparison and resentment?, comparison, Jealousy

What describes a desire to get back at someone?, desire, Revenge
What comes from anger and a need for payback?, anger, Revenge
What involves settling a past wrong?, settling, Revenge

What describes a desire for financial gain?, financial, Money
What involves seeking wealth or profit?, wealth, Money
What comes from wanting riches or reward?, riches, Money

What describes seeking excitement and danger?, excitement, Thrill
What involves chasing adrenaline and risk?, adrenaline, Thrill
What comes from wanting a rush of energy?, rush, Thrill

What describes wanting recognition and attention?, recognition, Fame
What involves becoming widely known?, widely, Fame
What comes from seeking popularity?, popularity, Fame

#WEAPONS
Which object has a sharp edge used for cutting?, edge, Knife
What tool is used to slice materials into pieces?, slice, Knife
Which item is small, handheld, and very sharp?, handheld, Knife

Which tool is used to grip and turn objects?, grip, Wrench
What item is often found in a toolbox for tightening parts?, toolbox, Wrench
Which tool can twist bolts or pipes?, twist, Wrench

Which object uses a trigger to release projectiles?, trigger, Revolver
What item fires small metal rounds?, metal, Revolver
Which object can shoot multiple times in succession?, succession, Revolver

Which tool has a heavy blade used for chopping?, heavy, Hatchet
What item is similar to a small axe?, similar, Hatchet
Which tool is used to split solid materials?, split, Hatchet

Which substance can cause harm when consumed?, consumed, Poison
What can be secretly added to food or drink to harm?, secretly, Poison
Which substance is dangerous even in small amounts?, amounts, Poison
