#CHARACTER (MURDERER)
This character is named after a bold red shade often linked to roses, roses, Mrs Scarlet
This character shares a name with a color seen in warning signs, warning, Mrs Scarlet
This character reflects the color of something bright and striking, striking, Mrs Scarlet

This character is named after a bird known for colorful feathers, bird, Mrs Peacock
This character reflects shimmering colors seen in nature’s display, shimmering, Mrs Peacock
This character shares a name with something known for vibrant patterns, patterns, Mrs Peacock

This character is named after a yellow condiment used on food, condiment, Mr Mustard
This character reflects a color often seen on caution signs, caution, Mr Mustard
This character shares a name with something bright and tangy, tangy, Mr Mustard

This character is named after a fruit with a deep purple color, fruit, Mrs Plum
This character reflects a shade often seen in ripe produce, ripe, Mrs Plum
This character shares a name with something small and richly colored, richly, Mrs Plum

This character is named after the color of fresh grass, grass, Mr Green
This character reflects a shade commonly found in nature, nature, Mr Green
This character shares a name with something symbolizing growth and life, growth, Mr Green
